venue_id,venue_name,city,address,website_url,menu_url,menu_source_type,tier,discovery_source,menu_status,last_checked_at
444c41b584f0948d,Zum Bierseidel,Berlin,"Fritz-Reuter-Allee 182d, 12359 Berlin",http://www.zum-bierseidel.de/,,,1,overpass_osm,,
6356b3369233d8be,Zum Dorfkrug,Berlin,"Röntgenstraße 1, 10587 Berlin",,,,1,overpass_osm,,
00bb159854ec544f,Zum Dortmunder,Berlin,"Breite Straße 35, 14199 Berlin",,,,1,overpass_osm,,
451bbe6d03f623fd,Zum Dortmunder,Berlin,,,,,1,overpass_osm,,
2e84314bb14db5f6,Zum Elefanten,Berlin,"Oranienstraße 12, 10999 Berlin",http://www.zum-elefanten.de,,,1,overpass_osm,,
c71157585f07bbad,Zum Friedrichshainer,Berlin,"Petersburger Straße 44, 10249 Berlin",,,,1,overpass_osm,,
b8e4f48a4ac36a96,Zum Fäßchen,Berlin,"Prenzlauer Promenade 187, 13189 Berlin",,,,1,overpass_osm,,
d07f98d85d646a8c,Zum Gesundbrunner,Berlin,"Rügener Straße 6, 13355 Berlin",,,,1,overpass_osm,,
a1b427221e3c5d72,Zum Goldenen Hahn,Berlin,"Oranienstraße 14a, 10999 Berlin",,,,1,overpass_osm,,
f0facef97da45d22,Zum Igel,Berlin,"Scharnweberstraße 1, 10247 Berlin",,,,1,overpass_osm,,
06ea0fb7ab52a917,Zum Kegel,Berlin,"Grußdorfstraße 1, 13507 Berlin",,,,1,overpass_osm,,
e774dea3247d6cc1,Zum Leibarzt,Berlin,"Cotheniusstraße 11, 10407 Berlin",,,,1,overpass_osm,,
e04b26238d2f4336,Zum Magendoktor,Berlin,"Mareschstraße 19, 12055 Berlin",,,,1,overpass_osm,,
7d46970e806b1576,Zum Schinken,Berlin,"Luxemburger Straße 5, 13353 Berlin",,,,1,overpass_osm,,
cc8f9090753159bd,Zum Tönnchen,Berlin,"Sonnenallee 141, 12059 Berlin",,,,1,overpass_osm,,
e1e9f4cabe8ee2f1,Zum böhmischen Dorf,Berlin,"Sanderstraße 11, 12047 Berlin",http://www.zumböhmischendorf.de/,,,1,overpass_osm,,
3ad137102d76d8d5,Zum guten Happen,Berlin,"Türrschmidtstraße 20, 10317 Berlin",,,,1,overpass_osm,,
b1ff306bc6510ef6,Zur Tulpe,Berlin,"Bundesallee 119, 12161 Berlin",,,,1,overpass_osm,,
5ae315c33d16a6e9,Zur weißen Kastanie,Berlin,"Schloßstraße 22, 14059 Berlin",http://www.kastanie-berlin.de/,,,1,overpass_osm,,
0bca9a0d2c90699a,booze bar berlin,Berlin,"Boxhagener Straße 105, 10245 Berlin",,,,1,overpass_osm,,
222e6991c35f08b0,eleven n lounge,Berlin,"Grünberger Straße 60, 10245 Berlin",https://www.11nlounge.de,,,1,overpass_osm,,
ea50bc01728b32fb,en passant,Berlin,"Schönhauser Allee 58, 10437 Berlin",,,,1,overpass_osm,,
dc1109c9012e1390,erika & hilde,Berlin,Weigandufer 9,,,,1,overpass_osm,,
95a47f6b6c60cb13,etc.,Berlin,"Knaackstraße 12, 10405 Berlin",http://www.etc-bar.de,,,1,overpass_osm,,
0b59dffcdf8d1521,gainsbourg bar américain,Berlin,"Jeanne-Mammen-Bogen 5, 10623 Berlin",http://www.gainsbourg.de/,,,1,overpass_osm,,
7b12ea3be737cb93,loge.,Berlin,"Kinzigstraße 9, 10247 Berlin",https://www.loge-berlin.org/,,,1,overpass_osm,,
952aff91d2b251bd,macke prinz,Berlin,"Zionskirchstraße 39, 10119 Berlin",,,,1,overpass_osm,,
f12ea2417a6cdb4d,meliá tapas,Berlin,Friedrichstraße 103,,,,1,overpass_osm,,
dff5313c1abebec7,mini.mal,Berlin,"Rigaer Straße 31, 10247 Berlin",https://www.birgit.club/minimal,,,1,overpass_osm,,
1196a69dd3f976e1,multilayerladen,Berlin,"Adalbertstraße 4, 10999 Berlin",,,,1,overpass_osm,,
ba2151a289e1a2ef,plan B,Berlin,"Wilhelmstraße 144, 13595 Berlin",http://www.planb-wohnzimmer.de,,,1,overpass_osm,,
6afd88e45a73173a,Übereck,Berlin,"Prenzlauer Allee 47, 10405 Berlin",,,,1,overpass_osm,,
